DepartamentoCodigo	MateriaCodigo	MateriaDescripcion	totalProfesores	conTituloCompatible	conTituloYFormacionCompatible
0	332	ELEMENTOS DE TECNOLOGIA                           	5	0	0
0	352	ORIENT. EDUCACIONAL Y SOCIOLABORAL (EDUC. EN VALOR	263	43	15
0	353	FARMACOLOGIA                                      	9	0	0
0	360	ESTADISTICA/APLICADA/PROBABILIDAD                 	5	5	2
0	361	ESTABILIDAD Y RESISTENCIA DE MATERIALES           	3	2	0
0	362	ELECTRONICA ANALOGICA                             	8	8	1
0	365	FILOSOFIA (E.M)                                   	3	1	0
0	367	FRANCES                                           	7	6	3
0	368	TECNOLOGIA AUTOMOTRIZ                             	5	5	2
0	370	FISICA                                            	307	122	117
0	377	FOTOGRAFIA                                        	6	1	0
0	378	FISIOLOGIA/DEL EJERCICIO                          	1	0	0
0	379	LABORATORIO DIESEL                                	3	0	0
0	380	GENETICA                                          	1	1	1
0	382	GABINETE DE GESTION                               	3	3	2
0	383	GABINETE DE INFORMATICA - LABORATORIO             	60	56	24
0	387	GRAFICA COMPUTARIZADA                             	7	4	0
0	391	GEOLOGIA                                          	1	0	0
0	397	POLITICA/FILOSOFIA POLITICA                       	163	108	87
0	403	PORTUGUES                                         	5	2	1
0	406	ANALISIS DEL DISCURSO                             	19	13	9
0	408	LOGICA MATEMATICA (Y TEORIA DE CONJUNTOS) (ED. SUP	5	5	3
0	409	LABORATORIO DE ELECTROTECNIA(ELECTROT.-LABORAT)   	7	3	0
0	411	TALLER MECANICO                                   	1	1	0
0	412	ELECTRICIDAD Y ELECTRONICA DEL AUTOMOVIL          	4	0	0
0	414	QUIMICA ANALITICA                                 	4	4	4
0	415	FISICO-QUIMICA                                    	5	4	3
0	416	MICROBIOLOGIA INDUSTRIAL                          	3	1	0
0	417	TALLER DE SERVICIOS INDUSTRIALES                  	2	2	1
0	418	MERCADOTECNIA Y GABINETE (INFORMATICA)            	12	6	2
0	419	SEMINARIO CONTABLE/GABINETE CONTABLE              	143	138	107
0	420	GUARANI (GUARA ÑEE                                	365	339	333
0	424	HORTICULTURA                                      	1	0	0
0	426	HISTORIA DEL DISEÑO                               	5	0	0
0	429	PATOLOGIA/PATOLOGIA GENERAL                       	7	4	2
0	435	INGLES                                            	218	183	149
